category,algorithm,complexity,input_size,time_ms,memory_kb
Sorting,Bubble Sort,O(n²),100,0.2586,0.795
Sorting,Bubble Sort,O(n²),250,1.4097,1.953
Sorting,Bubble Sort,O(n²),500,7.4544,3.906
Sorting,Bubble Sort,O(n²),1000,36.2476,7.812
Sorting,Bubble Sort,O(n²),2000,160.7304,15.625
Sorting,Bubble Sort,O(n²),4000,686.9663,31.25
Sorting,Selection Sort,O(n²),100,0.1256,0.781
Sorting,Selection Sort,O(n²),250,0.7076,1.953
Sorting,Selection Sort,O(n²),500,4.1093,3.906
Sorting,Selection Sort,O(n²),1000,16.6303,7.812
Sorting,Selection Sort,O(n²),2000,66.5798,15.625
Sorting,Selection Sort,O(n²),4000,266.0159,31.25
Sorting,Insertion Sort,O(n²),100,0.111,0.781
Sorting,Insertion Sort,O(n²),250,0.6815,1.953
Sorting,Insertion Sort,O(n²),500,3.4316,3.906
Sorting,Insertion Sort,O(n²),1000,16.1145,7.812
Sorting,Insertion Sort,O(n²),2000,69.3046,15.625
Sorting,Insertion Sort,O(n²),4000,282.5958,31.25
Sorting,Merge Sort,O(n log n),100,0.36,3.256
Sorting,Merge Sort,O(n log n),250,0.8915,7.98
Sorting,Merge Sort,O(n log n),500,1.796,15.809
Sorting,Merge Sort,O(n log n),1000,3.7178,32.058
Sorting,Merge Sort,O(n log n),2000,8.2555,62.652
Sorting,Merge Sort,O(n log n),4000,15.9405,125.996
Sorting,Quick Sort,O(n log n) avg,100,0.2186,4.168
Sorting,Quick Sort,O(n log n) avg,250,0.5335,8.992
Sorting,Quick Sort,O(n log n) avg,500,1.0913,17.945
Sorting,Quick Sort,O(n log n) avg,1000,2.2555,35.613
Sorting,Quick Sort,O(n log n) avg,2000,4.6489,65.795
Sorting,Quick Sort,O(n log n) avg,4000,9.9358,137.854
Sorting,Heap Sort,O(n log n),100,0.0226,1.188
Sorting,Heap Sort,O(n log n),250,0.0395,2.953
Sorting,Heap Sort,O(n log n),500,0.0808,6.0
Sorting,Heap Sort,O(n log n),1000,0.1665,11.875
Sorting,Heap Sort,O(n log n),2000,0.3529,24.219
Sorting,Heap Sort,O(n log n),4000,0.7485,47.0
Sorting,Timsort (built-in),O(n log n),100,0.0068,0.781
Sorting,Timsort (built-in),O(n log n),250,0.0149,1.953
Sorting,Timsort (built-in),O(n log n),500,0.034,3.906
Sorting,Timsort (built-in),O(n log n),1000,0.0689,11.684
Sorting,Timsort (built-in),O(n log n),2000,0.1501,23.367
Sorting,Timsort (built-in),O(n log n),4000,0.3228,46.74
Searching,Linear Search,O(n),500,0.0111,0.07
Searching,Linear Search,O(n),1000,0.0141,0.07
Searching,Linear Search,O(n),5000,0.1,0.07
Searching,Linear Search,O(n),10000,0.2212,0.07
Searching,Linear Search,O(n),50000,0.9891,0.07
Searching,Linear Search,O(n),100000,2.5057,0.07
Searching,Binary Search,O(log n),500,0.003,0.0
Searching,Binary Search,O(log n),1000,0.0014,0.0
Searching,Binary Search,O(log n),5000,0.0021,0.0
Searching,Binary Search,O(log n),10000,0.0026,0.0
Searching,Binary Search,O(log n),50000,0.0054,0.0
Searching,Binary Search,O(log n),100000,0.008,0.0
